Business Email Examples Index
Source: Richards, David. Business Email: Language, Structure and Style. Published by: The Language Key Ltd. Disponible en: https://www.languagekey.com/business_email.pdf
SourceFile: docs/business_email.pdf
Page numbering adjusted: cover = 000 (offset -1 from extraction page)
Total examples: 65
With From/To: 31
With From/To as N/A: 34

- example_004_order-ref-no-856.txt | page 4 | From: Darren Traube | To: Hayden Horowitz | Subject: Order Ref. No. 856 | status: extracted
- example_046_sound-system-installation-at-jht-ltd.txt | page 46 | From: Bill Havers | To: Kenneth Wong | Subject: Sound System Installation at JHT Ltd | status: extracted
- example_047_follow-up-to-monday-s-demonstration-at-jvt-powertools.txt | page 47 | From: Colleague to Colleague | To: N/A | Subject: Follow up to Monday's Demonstration at JVT PowerTools | status: n_a
- example_049_itutor-e-learning-software.txt | page 49 | From: N/A | To: N/A | Subject: iTutor E-Learning Software | status: n_a
- example_051_itutor-e-learning-software.txt | page 51 | From: N/A | To: N/A | Subject: iTutor E-Learning Software | status: n_a
- example_052_itutor-e-learning-software.txt | page 52 | From: N/A | To: N/A | Subject: iTutor E-Learning Software | status: n_a
- example_053_itutor-e-learning-software.txt | page 53 | From: N/A | To: N/A | Subject: iTutor E-Learning Software | status: n_a
- example_054_itutor-e-learning-software.txt | page 54 | From: N/A | To: N/A | Subject: iTutor E-Learning Software | status: n_a
- example_055_itutor-e-learning-software-2.txt | page 55 | From: N/A | To: N/A | Subject: iTutor E-Learning Software | status: n_a
- example_055_itutor-e-learning-software.txt | page 55 | From: N/A | To: N/A | Subject: iTutor E-Learning Software | status: n_a
- example_061_quotation.txt | page 61 | From: Steven Morrison | To: Tom Daly | Subject: Quotation | status: extracted
- example_062_it-project.txt | page 62 | From: Susan Yu | To: Jenny Tam | Subject: IT Project | status: extracted
- example_062_new-software.txt | page 62 | From: Paula Yates | To: Tim Jennings | Subject: New Software | status: extracted
- example_063_late-delivery-of-order-no-39587.txt | page 63 | From: Ross Cheong | To: John Lee | Subject: Late Delivery of Order No. 39587 | status: extracted
- example_067_order-confirmation.txt | page 67 | From: Keith Jolsen | To: Jake Adams | Subject: Order Confirmation | status: extracted
- example_068_request-for-prices.txt | page 68 | From: Roxanne Siegel | To: Jeff Finch | Subject: Request for Prices | status: extracted
- example_068_your-order.txt | page 68 | From: Ken Smith | To: Jackson Lay | Subject: Your Order | status: extracted
- example_069_order-no-75893.txt | page 69 | From: Pauline George | To: Rene De Guzman | Subject: Order No. 75893 | status: extracted
- example_069_shipping-confirmation.txt | page 69 | From: Sarah Danes | To: Matt Dolman | Subject: Shipping Confirmation | status: extracted
- example_070_order-cancellation.txt | page 70 | From: Pedro Nadal | To: Roger Murray | Subject: Order Cancellation | status: extracted
- example_070_purchase-order-641p.txt | page 70 | From: Peter Svenson | To: Nina Jacobson | Subject: Purchase order 641P | status: extracted
- example_071_order-reference-74589g.txt | page 71 | From: Miguel Renaldo | To: Gayle Johnston | Subject: Order Reference 74589G | status: extracted
- example_072_payment-request.txt | page 72 | From: David Jenas | To: Louis Leclerc | Subject: Payment Request | status: extracted
- example_098_proposal-for-network-set-up.txt | page 98 | From: N/A | To: N/A | Subject: Proposal for Network Set-up | status: n_a
- example_098_reference-for-ms-june-tsui.txt | page 98 | From: N/A | To: N/A | Subject: Reference for Ms. June Tsui | status: n_a
- example_099_request-for-financial-aid.txt | page 99 | From: N/A | To: N/A | Subject: Request for Financial Aid | status: n_a
- example_100_contract-with-jobsen-ltd.txt | page 100 | From: N/A | To: N/A | Subject: Contract with Jobsen Ltd | status: n_a
- example_101_staff-punctuality.txt | page 101 | From: N/A | To: N/A | Subject: Staff Punctuality | status: n_a
